ID,DR_NO,DATE OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Premis Cd,Premis Desc,Weapon Used Cd,Crm Cd 1,LOCATION,Cross Street,LAT,LON
637807,170606391,02/12/2017 12:00:00 AM,6,Hollywood,669,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,1100 N ARDMORE AV,0,34.0908,-118.3012
637808,172022203,12/17/2017 12:00:00 AM,20,Olympic,2031,441,THEFT PLAIN - ATTEMPT,210.0,RESTAURANT/FAST FOOD,0,441.0,3900 WILSHIRE BL,0,34.0617,-118.3115
637809,171007154,03/10/2017 12:00:00 AM,10,West Valley,1034,901,VIOLATION OF RESTRAINING ORDER,501.0,SINGLE FAMILY DWELLING,0,901.0,17800 DELANO ST,0,34.183,-118.5204
637810,170710262,05/19/2017 12:00:00 AM,7,Wilshire,762,310,BURGLARY,702.0,OFFICE BUILDING/OFFICE,0,310.0,1700 S LA CIENEGA BL,0,34.0471,-118.3762
637811,171519119,09/20/2017 12:00:00 AM,15,N Hollywood,1539,330,BURGLARY FROM VEHICLE,108.0,PARKING LOT,0,330.0,5600 VINELAND AV,0,34.1722,-118.3703
637812,171906132,02/08/2017 12:00:00 AM,19,Mission,1983,310,BURGLARY,707.0,GARAGE/CARPORT,0,310.0,8500 BURNET AV,0,34.2246,-118.4633
637813,170509275,03/01/2017 12:00:00 AM,5,Harbor,500,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,726.0,POLICE FACILITY,0,845.0,2100 JOHN S GIBSON BL,0,33.7577,-118.2884
637814,171013993,08/02/2017 12:00:00 AM,10,West Valley,1039,626,INTIMATE PARTNER - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,626.0,6500 WOODLEY AV,0,34.1888,-118.4837
637815,170400852,05/13/2017 12:00:00 AM,4,Hollenbeck,416,753,DISCHARGE FIREARMS/SHOTS FIRED,101.0,STREET,0,753.0,2700 LINCOLN PARK AV,0,34.0812,-118.2032
637816,170812185,07/01/2017 12:00:00 AM,8,West LA,802,888,TRESPASSING,501.0,SINGLE FAMILY DWELLING,0,888.0,1100 KAGAWA ST,0,34.0497,-118.5185
637817,171811378,05/12/2017 12:00:00 AM,18,Southeast,1824,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,600 E 93RD ST,0,33.952,-118.2651
637818,171414895,06/16/2017 12:00:00 AM,14,Pacific,1489,330,BURGLARY FROM VEHICLE,108.0,PARKING LOT,0,330.0,LA CIENEGA,98TH,33.9469,-118.3703
637819,171910143,04/17/2017 12:00:00 AM,19,Mission,1901,901,VIOLATION OF RESTRAINING ORDER,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0,901.0,16600 FOOTHILL BL,0,34.3216,-118.4958
637820,171019154,11/26/2017 12:00:00 AM,10,West Valley,1024,330,BURGLARY FROM VEHICLE,108.0,PARKING LOT,0,330.0,6600 RESEDA BL,0,34.1958,-118.5399
637821,170308388,02/17/2017 12:00:00 AM,3,Southwest,358,440,THEFT PLAIN - PETTY ($950 & UNDER),722.0,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,0,440.0,900 W 35TH ST,0,34.0231,-118.287
637822,171720187,11/04/2017 12:00:00 AM,17,Devonshire,1708,624,BATTERY - SIMPLE ASSAULT,108.0,PARKING LOT,0,624.0,11800 BALBOA BL,0,34.2841,-118.5021
637823,171105453,01/31/2017 12:00:00 AM,11,Northeast,1199,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,700 SOLANO AV,0,34.0768,-118.2333
637824,171722305,11/10/2017 12:00:00 AM,17,Devonshire,1701,354,THEFT OF IDENTITY,404.0,DEPARTMENT STORE,0,354.0,19800 RINALDI ST,0,34.2751,-118.5652
637825,171006651,02/27/2017 12:00:00 AM,10,West Valley,1061,956,"LETTERS, LEWD - TELEPHONE CALLS, LEWD",501.0,SINGLE FAMILY DWELLING,0,956.0,5200 BECKFORD AV,0,34.1661,-118.5522
637826,171117278,09/23/2017 12:00:00 AM,11,Northeast,1115,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),108.0,PARKING LOT,0,745.0,2200 MERTON AV,0,34.1377,-118.2145
637827,171214271,05/24/2017 12:00:00 AM,12,77th Street,1203,761,BRANDISH WEAPON,101.0,STREET,511.0,761.0,50TH ST,WESTERN AV,33.998,-118.3089
637828,172007367,03/07/2017 12:00:00 AM,20,Olympic,2044,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,800 S KINGSLEY DR,0,34.0577,-118.3031
637829,171217787,07/10/2017 12:00:00 AM,12,77th Street,1273,624,BATTERY - SIMPLE ASSAULT,801.0,MTA BUS,400.0,624.0,WESTERN AV,89TH ST,33.9564,-118.309
637830,170515204,08/29/2017 12:00:00 AM,5,Harbor,508,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),104.0,DRIVEWAY,0,420.0,1400 238TH ST,0,33.8088,-118.3024
637831,171810626,04/28/2017 12:00:00 AM,18,Southeast,1822,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",101.0,STREET,308.0,230.0,BROADWAY,CENTURY BL,33.9456,-118.2781
637832,171009380,04/26/2017 12:00:00 AM,10,West Valley,1004,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,501.0,SINGLE FAMILY DWELLING,511.0,930.0,8100 DARBY AV,0,34.2179,-118.5334
637833,172116260,09/03/2017 12:00:00 AM,21,Topanga,2187,624,BATTERY - SIMPLE ASSAULT,102.0,SIDEWALK,400.0,624.0,VENTURA,PARALTA,34.1667,-118.5908
637834,172106141,01/27/2017 12:00:00 AM,21,Topanga,2189,354,THEFT OF IDENTITY,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0,354.0,5400 QUAKERTOWN AV,0,34.1681,-118.5696
637835,170810794,05/28/2017 12:00:00 AM,8,West LA,893,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,2700 GLENDON AV,0,34.0352,-118.4231
637836,172120438,11/24/2017 12:00:00 AM,21,Topanga,2138,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,20400 SATICOY ST,0,34.2083,-118.5776
637837,172114737,08/02/2017 12:00:00 AM,21,Topanga,2147,901,VIOLATION OF RESTRAINING ORDER,501.0,SINGLE FAMILY DWELLING,0,901.0,6900 DE SOTO AV,0,34.1956,-118.5885
