,APN,Registered Date,Property Type,Property Zip
280,2101035002,7/25/14,Single Family,91335.0
281,5051037004,9/17/14,Multi-Family,90018.0
282,6052021002,3/28/14,Multi-Family,90003.0
283,5484034018,5/9/14,Single Family,90042.0
284,5115031011,12/5/14,Multi-Family,90011.0
285,2074035001,2/4/14,Single Family,91364.0
286,2782034014,5/6/14,Single Family,91324.0
287,6109023042,11/17/14,Single Family,90248.0
288,2224027049,11/11/14,Single Family,91406.0
289,6040027008,4/9/14,Multi-Family,90003.0
290,6054019003,2/27/14,Multi-Family,90044.0
291,5177011035,2/6/14,Multi-Family,90033.0
292,6075008003,3/27/14,Single Family,90044.0
293,5201017021,11/7/14,Single Family,90033.0
294,5452009010,10/14/14,Multi-Family,90065.0
295,6052016028,10/27/14,Multi-Family,90003.0
296,2229002007,8/14/14,Single Family,91406.0
297,6029002028,8/12/14,Multi-Family,90001.0
298,2761036083,4/8/14,Single Family,91324.0
299,2661018011,7/28/14,Single Family,91343.0
300,6039001034,2/3/14,Single Family,90044.0
301,5049005004,3/26/14,Single Family,90016.0
302,2265021013,12/8/14,Single Family,91423.0
303,5716026025,3/25/14,Single Family,90042.0
304,5521004006,2/4/14,Multi-Family,90004.0
305,2501003030,8/14/14,Single Family,91342.0
306,6005013027,1/31/14,Multi-Family,90003.0
307,6030004023,8/22/14,Multi-Family,90003.0
308,2606005053,9/15/14,Single Family,91344.0
309,2601038054,5/6/14,Single Family,91344.0
310,2369027095,8/1/14,Single Family,91604.0
311,5549028013,12/23/14,Single Family,90068.0
312,2729006011,11/5/14,Single Family,91324.0
313,2611008014,8/22/14,Single Family,91342.0
314,5022008001,1/17/14,Multi-Family,90062.0
315,5205012119,5/16/14,Single Family,90031.0
316,2168018056,4/9/14,Single Family,91364.0
317,2247017002,2/3/14,Single Family,91401.0
318,2532028008,12/23/14,Single Family,91331.0
319,2536015039,1/9/14,Single Family,91331.0
320,6050006024,11/25/14,Single Family,90002.0
321,2546001021,11/25/14,Single Family,91040.0
322,2123033016,4/9/14,Single Family,91335.0
323,2642012010,9/16/14,Single Family,91331.0
324,6057012002,7/28/14,Single Family,90047.0
325,4019010049,8/25/14,Single Family,90043.0
326,2748008038,11/26/14,Single Family,91311.0
327,2552043022,12/5/14,Single Family,91042.0
328,2324007013,6/11/14,Single Family,91605.0
329,6014002016,1/16/14,Single Family,90044.0
